FP130,FP130X,HE111,HE111S,HE111W,HE111X,HE112,HE112S,HE112V,HE112W,HH104,HH104X,HH215,HH215A,HH215M,HH216,NE203,NL110,NN220,NS101,SC111,SC112,SC112R,SM121A,SM122,SM122R,SM122X,SM131,SM221,SM221P,SM221X,SM223,SM239,SP211,SP211P,SP211R,SP212,SP212P,SP212R,SY110
A,,A,,,,A,,,,A,,A,,,B+,A,A,,A,B,B,,,C,,,,B,,,,,B,,,B+,,,B
V,,A,,,,B,,,,V,,A,,,A,B,B,,A,V,,,,V,,,,,A,,,,,A,,,A,,A
A,,,,A-,,,,,,B-,,,,,,,B-,,B,RF;B-,C+,,,D,,,,,,,,,,,,,,,B-
B-,,B+,,,,A-,,,,B+,,,,B-,C+,A-,B+,,B+,B,B-,,,A,,,,B-,,,,,A-,,,B+,,,B
B,,B+,,,,B,,,,B,,,,,,,A-,,F,C,B-,,,,,,,,,,,,,,,,,,A
B,,B,,,,A,,,,A,,A-,,,,B+,A,,A,C,B,,,B,,,,C+,,,,,C+,,,A-,,,A
C,,,A,,,,A,,,B,,B+,,,B+,B-,B,,C,D,C,,,D,,,,,,,C+,,C+,,,C-,,,B
B,,,,B,,,,,B,B,,,B,,C,C+,B,,C,V,V,,,B,,,,C,,,,,V,,,V,,,A
A,,,A,,,,A,,,A,,,A-,,A,A-,A,,A,V,,,,A,,,,B,,,,,,A,,,A,,B
D,,,,B,,,,,B-,D+;RF,,C-,,,,,C+,,C,C-,C-,,,RF,B+,,,,,,D,,D,,,,,,D
A,,A-,,,,B+,,,,B,,,,,,,B+,,B,C,D+,,,B-,,,,,,,,,,,,,,,B
B+,,A-,,,,B+,,,,B-,,A-,,,B+,B+,A,B+,C-,C,C-,,,D+,,,,,,,C+,,D,,,C+,,,C+
V,,V,,,,,,,,A,,,A-,,,,B+,,A-,B-,C+,,,V,,,,,D+,,,,,,,,,,A
C,,B,,,,A,,,,B,,,C,,C,B-,B,,C,C,C,,B,B,,,,,,,C+,,C,,,C-,,,C
C+,,C-,,,,C+,,,,A-,,,,,,,A-,,C,D+,C-,,,D,,,,,,,,,,,,,,,C
A,,B,,,,A,,,,A,,,A,,A-,A,A,,A,V,,,,B,,,,B,,,,,B+,,,A-,,,A
A,,,A-,,,,A,,,B-,,A,,,A-,A,A,,A,A-,B+,,,V,,,,,C,,,,A,,,A,,,A-
A-,,V,,,,,,A,,A,,,B+,,A-,A,A,A,A,A,A,,,V,,,,,A,,,,A,,,A,,,A
A,,A,,,,A,,,,B+,,A,,,,A,A,A,A,A-,B,,,B,,,,B+,,,,,A-,,,A-,,,A-
B,,V,,,,,,A-,,A,,,B,,B+,B+,B+,B-,B-,A-,C,,,B-,,,,B-,,,,,C+,,,C+,,,B-
A,,V,,,,,,A,,A,,,A,,A-,A,A,,A,A,A,,,A,,,,A,,,,,A,,,A,,,A
V,,B,,,,A,,,,B,,,,B,,,B-,,D+,C,D,,,D,,,,,,,,,,,,,,,C
B-,,A,,,,A,,,,A,,A,,,B-,A-,A,B+,B-,B,C+,,,A-,,,,,,,B,C+,B-,,,B+,,,B+
V,,A,,,,A,,,,A-,,,B+,,,,A-,,B,C,C,,,B-,,,,,,,,,,,,,,,A-
B,,A,,,,A,,,,B,,B+,,,A,A-,A,,A,A,B,,,V,,,,,B,,,,B+,,,B,,,B
A,,V,,,,,,B+,,B+,,,,A,A-,A,A,A,A,V,,,,V,,,,,A,,,,V,,,A,,,A
C,,B,,,,A,,,,B,,B+,,,B+,A-,B,,B,B,C,,,B,,,,,,,A,,B,,,B+,,,C
A,,,,A,,,,,,A-,,,,,,,A-,,B+,B,C+,,,B-,,,,,,,,,,,,,,,B+
A,,A,,,,A,,,,A,,B,,,A-,B+,A,,B,B,B,,,B,,,,C,,,,,V,,,,C+,,B
C+,,,,A,,,,,B+,C-,,A-,,,B+,C+,B+,,C,RF;C,B-,,,C-,,,,,,,C,D+,RF,,B-,C,,,D
A,,V,,,,,,,,A,,A,,,,,A,,A,C+,C+,,,B,,,,,,,,,,,,,,,A
B,,B+,,,,B,,,,B-,,,,B,B,B-,B+,,B,C+,C,,,C,,,,,,,C-,B-,C,,,C,,,B-
A-,,B+,,,,B,,,,A,,A,,,B,B+,B+,A,B+,B-,B,,A-,B,,,,,,,B+,,B-,,,A-,,,B+
B-,,A,,,,B+,,,,B,,,,,,,B+,,C-,D,C-,,,A-,,,,B-,,,,,,,,,,,C+
B,,A,,,,B-,,,,B,,A,,,W;A-,B+,A-,B,B-,C+,C,,,D+,,,,,,,B+,,C,,,D+,,,C+
A,,A,,,,A,,,,A,,,,A-,,,A,,A,V,,,,A,,,,A,,,,,,,,,,,A
B,,A,,,,A,,,,A,,,,A-,B+,A,A,,A,A,A,,,C,,,,A,,,,A,A-,,,A,,,B
A,,V,,,,,,A,,A,,,A,,A,A,A,,A,B,B,,,A,,,,B+,,,,,A-,,,B,,,A
A,,A-,,,,A,,,,C,,,A-,,,B+,A,B,A,A-,C+,,,,,B,V,,,B,,,B,,,B,,,B-
A-,,A-,,,,A,,,,A,,,,,,,A-,,C+,C,C,,,B,,,,,,,,,,,,,,,A-
A,,A-,,,,A,,,,B,,A,,,A-,A,A,,A-,B,C,,,B+,,,,,,,A,,B-,,,C,,,B-
A-,,V,,,,,,,,B+,,,,B+,,,B,,B-,D,C,,,C,,,,B,,,,,,,,,,,B
A,,A-,,,,A-,,,,A-,,A-,,,,A,A-,A-,B,V,,,,B,,,,B+,,,,,A-,,,A-,,,A-
V,,V,,,,,,,,A,,A-,,,,,A,,A,A,A,,,V,,,,V,,,,,,A,,,,,A
B+,,A,,,,A,,,,A-,,,,,,,B+,A,A-,B,B+,,,B+,,,,,,,,,,,,,,,A-
B,,A,,,,A,,,,B,,A,,,A,A,A,,B,C+,C,,,C,,,,C-,,,,,B-,,,B-,,,B-
B,,,A,,,,A,,,A,,,B+,,A-,A,A-,B,C+,C,C,,,D,,,,,,,A-,,B-,,,C-,,,D+
A-,,A,,,,B+,,,,A,,,,A,,A-,A,A,A-,B,A-,,,A-,,,,A-,,,,,A-,,,A,,,A-
B+,,A-,,,,A-,,,,C+,,,B-,,A-,B,B-,A-,C,C-,D+,,,D,,,,,,,B,D+,C,,,C+,,,B
A,,A,,,,A-,,,,B+,,A,,,B+,A-,A-,,B+,B-,C,,,C,,,,,,,B+,D+,C,,,C,,,A-
A,,A,,,,B,,,,A,,A-,,,A-,A-,A,,A,V,,,,,,A,V,,,A,,A,,A,,,,,A
A,,V,,,,,,B,,A,,A-,,,A,A-,A,,A,B,B,,,B,,,,B,,,,,A,,,B,,,A
B+,,A,,,,A-,,,,B+,,A,,,A-,A-,B+,B,A-,B,C,,,C+,,,,B,,,,,C,,,A-,,,B
B,,A,,,,C-,,,,C+,,D+,,,,C-,B-,,C,C,C+,,,D+,,,,D,,,,,C+,,,F,,,B-
B+,,A-,,,,A-,,,,B,,A,,,A-,A,A,A-,B,A-,A-,,,B,,,,,,,A,B+,A,,,A-,,,A
C+,,,B,,,,,,,,,,,,,,C+,,C,D,,,,,,,,,,,,,,,,,,,
A-,,A-,,,,A-,,,,B,,,,,,,B,,C+,C+,C+,,,C+,,,,,,,,,,,,,,,A-
B,,B,,,,B,,,,B,,,,B,A,A-,A,,B,C,B,,,C,,,,,,,C+,,B,,,C,,,B
B,,A,,,,A,,,,B,,A-,,,B,A,A,,A,B,B,,,B,,,,,,,A-,A,B,,,C-,,,B
A-,,B+,,,,B+,,,,A,,A,,,,,A,,B+,C+,C,,,C,,,,D,,,,,,,,,,,A-
A-,,B-,,,,B+,,,,B+,,,,,,,A,,C+,B+,C+,,,C,,,,C-,,,,,,,,,,,A-
A-,,B,,,,B+,,,,B,,,,,,,A-,,B-,C,B-,,,B-,,,,D+,,,,,,,,,,,C
V,,A,,,,A,,,,A,,A,,,A,A,A,,A,V,,,,V,,,,,A,,,,,A,,,A,,A
B,,B-,,,,C+,,,,C,,,,,,,C+,,B-,C-,D,,,C-,,,,,,,,,,,,,,,C+
A,,V,,,,,,,,A,,A,,,,,A,,A,A,A-,,,A,,,,,,,,,,,,,,,A
B,,A,,,,A,,,,A,,,A,,A-,A,A,,B,C,C,,B,A,,,,,,,B+,,B-,,,B,,,B
A-,,,,A,,,,,,B,,,,,,,B,,B+,B-,C,,,B,,,,,,,,,,,,,,,A-
B-,,B,,,,B,,,,C+,,,,,,,C,,B-,C,D+,,,C+,,,,,,,,,,,,,,,C+
B,,V,,,,,,A,,A-,,,,B,V,A-,A-,B-,B,A-,A,,,V,,,,,B+,,,,A-,,,B,,,B+
A,,A,,,,A,,,,A,,A,,,B,A-,A,,A,B,B,,,A,,,,,,,B+,,B,,,B+,,,B
,A-,,,,A,,,,A-,,B,A-,,,B-,A-,A,B+,B+,A-,B,,,A,,,,,,,A,A-,A,,,A-,,,A-
A,,A,,,,B,,,,A,,,,B+,B,A,A,,A,B,A,,,,,B,V,,,A,,,A,,,A,,,B
B-,,,,A-,,,,,B+,A-,,A,,,B,A,B+,,A-,C+,C-,,,B-,,,,,,,C,,C,,,C,,,B-
A-,,B+,,,,B+,,,,A,,A,,,B,B,A-,C+,B,D,C+,,B+,B,,,,,,,A-,,C-,,,D,,,B+
B+,,B+,,,,A,,,,B+,,B,,,B+,A,B,A-,B-,C+,B,,A-,A,,,,,,,B+,C+,C,,,B,,,A-
V,,A,,,,B+,,,,B+,,,,A,,,B,,B,C+,C,,,C+,,,,,,,,,,,,,,,B
B-,,B+,,,,B,,,,C,,,D+,,C,B-,A,,D+,RF;B+,C+,,B+,B-,,,,RF;C,,,,,D+,,,D,,,C
B+,,A-,,,,B+,,,,A,,B-,,,B,B,A,,A,B,A-,,,A-,,,,,,,A,B,B+,,,A-,,,B-
B+,,A-,,,,B,,,,B,,,,B,A-,B,B+,B-,B+,B,C,,,C,,,,,,,B-,,D+,,,C,,,C
D,,C,,,,A,,,,D,,,C,,C+,C-,A,,C,D,D,,,B;RF,,,,,,,C,,D+,,,RF,,B-,B
V,,A,,,,A-,,,,A-,,,B,,A,A,A,A,B+,A-,B,,,B,,,,C,,,,,B,,,A-,,,B+
B+,,C,,,,C+,,,,D,,C,,,A-,B+,A,B-,A-,B+,B-,,,C,,,,B-,,,,,C+,,,B+,,,C+
B+,,B+,,,,A,,,,B+,,,,B,A,A-,A,,B,B-,C+,,,B,,,,,,,A-,,B,,,B+,,,B-
B+,,V,,,,,,A-,,A,,,,B+,B,A-,A,,A,B,B,,,V,,,,,D+,,,,A-,,,A-,,,A-
B,,B+,,,,B+,,,,C+,,B,,,B+,A-,B+,B+,A,B,B-,,,A,,,,,,,A,A,A-,,,B,,,B+
V,,V,,,,,,,,A,,,,A-,A,,A,,A-,B+,B,,,A,,,,,,,,,,,,,,,A-
A,,,A-,,,,A,,,A,,,,A,,A,A,A,A,V,,,,V,,,,,B,,,,,A,,A-,,,B+
A,,A,,,,A-,,,,A,,,,,,,A,,B,B,B+,,,C+,,,,B,,,,,,,,,,,A-
C+,,B,,,,B+,,,,B+,,B,,,A,A,A-,,A-,B,C+,,,D+,,,,C-,,,,,B,,,B,,,B
A-,,A-,,,,,B+,,,A,,,B-,,B+,A,B+,,A-,B-,C,,,A-,,,,,,,A,C,B-,,,C,,,B
,,B,,,,,,,,B,,,,,,,B,,D,C,,,,,,,,,,,,,,,,,,,
A,,B-,,,,A,,,,A-,,,,A-,B,A-,B+,,A-,A-,B+,,,V,,,,,B-,,,,B,,,A-,,,B
B+,,B-,,,,B+,,,,B+,,B+,,,,B+,B,B+,C,C-,C-,,C,C-,,,,,,,C-,,C-,,,D+,,,C
V,,A,,,,A,,,,A,,A-,,,V,A,A-,A,A-,A-,A-,,,B+,,,,B-,,,,B-,B+,,,B,,,A
B,,B,,,,C,,,,B,,B,,,B,B-,B,C+,C,D,C+,,,B;RF,,,,,,,C,D,C-,,,C-,,,C-
V,,V,,,,,,A,,B,,A,,,A-,A,A,,A,B,B,,,,,B,V,,,A,,,B+,,,A-,,,A
A-,,A,,,,A-,,,,A-,,,B,,A,A,A,,B,B+,A,,,B+,,,,,,,B+,,B,,,A-,,,B+
A-,,A,,,,A,,,,B+,,,,,,,A-,,B,B-,B,,,A-,,,,,,,,,,,,,,,A-
V,,A,,,,A,,,,B,,,B+,,A,A,A,A,B+,A,A-,,,V,,,,,A-,,,,A,,,A,,,A
A,,A-,,,,A,,,,A,,,,,,,A-,,B+,B,B,,,B-,,,,C+,,,,,,,,,,,A-
B,,,B,,,,B,,,A,,B-,,,A-,B-,A,,B,B,B,,,A,,,,D,,,,,,,,,,,B
B-,,A-,,,,B+,,,,B-,,A-,,,B+,B-,C-,,C+,D,D,,C+,C+,,,,C,,,RF,RF,RF,,A-,B,,,B-
A,,V,,,,,,A-,,B+,,B+,,,A,B,B+,,B,C,B+,,,C+,,,,B-,,,,B,B+,,,B+,,,A-
B-,,A-,,,,B+,,,,B+,,,B-,,B+,A-,B+,,C,D,C-,,,D+,,,,,,,C,,D+,,,D,,,B-
C+,,B-,,,,B,,,,B,,,,B,B,B+,B-,B-,B-,C,C-,,C+,C-,,,,,,,C-,,D+,,,C-,,,B
V,,,A-,,,,A,,,A,,,,A,A,A,A,,A,V,,,,V,,,,,A,,,A,,A,,A,,,A
A-,,V,,,,,,,,B+,,,,,A,,B+,,B,B-,B+,,,B-,,,,B,,,,,,,,,,,B
B+,,,A-,,,,W,,A,B+;W,,B,,,A,B,A,B,B+,C,B;W,,,B-;W,,,,,,,C,,C+,,,C,,,B;W
C+,,B,,,,B+,,,,B-,,,,,,,B,,C,D+,D,,,,,,,,,,,,,,,,,,C+
V,,V,,,,,,,,C+,,C-,,,,,B-,,D,RF;C-,D+,,,,,,,,,,,,,,,,,,C+
A-,,A-,,,,A-,,,,B,,A-,,,B,A-,A-,,C,C-,D,,,C-,,,,,,,C,,D,,,D,,,C-
A,,A,,,,A,,,,A,,A,,,B,B,A,B+,B+,B,C+,,,D+,,,,,,,C,C,C+,,,D+,,,B
A,,A,,,,B,,,,A,,A,,,A-,A,A,,A,B,B,,,A,,,,,,,A-,,B,,,C+,,,A
B,,B,,,,A,,,,B,,,A-,,A-,A-,A,,A,A,A,,,A,,,,B+,,,,,A,,,B+,,,B
A,,V,,,,,,,,A,,,,A-,,,A,,A,C-,C,,,C,,,,,,,,,,,,,,,B+
A,,V,,,,,,A,,A,,,,A,,A,A,A,A,V,V,,,V,,,,,A,,,,V,,,A,,,A
B+,,V,,,,,,,,B+,,A,,,,,A-,,B,B-,B,,,B-,,,,B-,,,,,,,,,,,A
V,,A,,,,A,,,,A,,,A,,A,A,A,,A,A,A,,,B,,,,A,,,,,B+,,,A-,,,A
V,,A,,,,B+,,,,A,,,,A-,,,A,,B,B,B,,,V,,,,,B,,,,,,,,,,A
A,,A,,,,A,,,,B,,A,,,B,A,A,,A,B,B,,,B,,,,,,,A,,B+,,,B+,,,B
C,,,,B,,,,,B+,C,,C,,,B,C+,B,,C,D,C,,C,C,,,,,,,D,,B-,,,D,,,D
B-,,B+,,,,B,,,,B-,,B+,,,A,A-,B-,,C,RF;C-,C,,D,C,,,,,,,D+,,RF,,C-,C+,,,C+
B,,A-,,,,B+,,,,B,,,,B+,B+,A,A-,,B,B,C+,,,,,C-,V,,,C+,,,B-,,,B+,,,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
C,,A-,,,,RF,,,B,C-,,A-,,,C+,A-,C-,,A-,C+,D,,,A-,,,,,,,B-,,B,,,C,,,B+
B+,,A-,,,,B,,,,C+,,C+,,,,A-,B,A,B-,D+,C-,,,C,,,,C,,,,,D+,,,D+,,,A-
V,,V,,,,,,,,A,,,,A,V,,A,,A,A,A,,,V,,,,,A-,,,,,,,,,,A
A,,V,,,,,,A,,A,,,A,,A,A,A-,A,B+,A-,B+,,,B-,,,,,,,B+,B-,B+,,,B,,,A-
A,,A,,,,A,,,,A,,A,,,A,A-,A,,A,V,A,,,V,,,,,A,,,,A,,,A-,,,A
A,,B,,,,B,,,,C,,B-,,,B-,A-,A,,C,C,D,,,A;RF,,,,C-,,,,,C+,,,C,,,B
V,,A,,,,A,,,,A,,A,,,A,A-,A,,B,B,A,,,B,,,,C+,,,,,A-,,,C+,,,A
C,,,,A,,,,,B,C,,B-,,,C+,B-,B,,C,D,D,,C,B,,,,,,,D,,RF,,D,B,,,C
A,,B+,,,,A-,,,,C+,,,,,,,B+,,D,C,D,,,F,,,,,,,,,,,,,,,C
B-,,B,,,,B+,,,,B+,,A-,,,B,B+,A,,A,B+,B+,,,A,,,,A-,,,,,B+,,,B+,,,A
D,,,,B,,,,,A-,C-,,,B-,,A,C,B,,C,RF;C,C,,C-;RF,C-,,,,,,,,,,,,,,,RF;D
A,,,B+,,,,A,,,B+,,B-,,,B+,A-,A-,A-,A-,A-,A-,,A-,A,,,,B,,,,,B,,,B+,,,A
,C,,,,A,,,,B-;RF,,C+,,C-,,C-,B,C-,,B,D,C,,,C+,,,,D+,,,,,B-,,,A,,,D
A,,A,,,,A,,,,A,,A,,,A,A,A,,A,B,B,,,B,,,,,,,A,,B+,,,B,,,B
V,,V,,,,,,A,,A,,,,A,A,A,A,,A,V,,,,V,,,,,B,,,,,B,,,A,,A
B,,,B,,,,A,,,A-,,A,,,B+,B,B+,A-,B-,C+,C,,,C,,,,B-,,,,,B-,,,B,,,C+
A,,V,,,,,,A,,A,,A,,,A,A,A,,A,V,,,,A,,,,A,,,,,V,,,A,,,A
B+,,A,,,,A-,,,,A,,A-,,,A,A,A,,B+,B,A,,,A,,,,A-,,,,,,,,,,,A-
B,,B,,,,C,,,,A,,,B,,,B-,A,,A,B,B,,,C,,,,,,,C+,,C,,,D,,,B
A,,,A,,,,A,,,A,,,A,,A,A,A,A-,B+,C,C-,,,B-,,,,C+,,,,,A-,,,B,,,A
A,,A,,,,A,,,,A,,A-,,,A-,A,A,,A,A,B,,,B,,,,,,,B+,,A-,,,B,,,A
B+,,B,,,,B-,,,,B,,A,,,,C+,B+,B,B,C+,B-,,,B,,,,D,,,,,C+,,,A-,,,B-
V,,V,,,,,,A,,B+,,,B+,,A,A,A,A-,A,A,A,,,A,,,,A,,,,A,A,,,A-,,,A
B+,,B,,,,A-,,,,A,,A,,,B+,A,A-,,B-,C,D,,,B,,,,B-,,,,D,C,,,B-,,,C-
A,,A,,,,A,,,,B,,A,,,B,B,A,,A,A,A,,,A,,,,A-,,,,,A,,,A,,,A
B,,B,,,,A,,,,A,,A,,,A,B+,B,,A,B,C,,,A,,,,B,,,,,B+,,,A-,,,C
,B,,,,B,,,,,,C+,,,,,,B,,C,C+,B-,,,A-,,,,,,,,,,,,,,,B
B,,B,,,,A,,,,B,,,B,,B+,A-,A,,B,D,C,,,C,,,,C-,,,,,C,,,C,,,C
B+,,B+,,,,B,,,,C+,,B+,,,B,A-,B,C+,B+,C+,C,,,D+,,,,C+,,,,,C,,,B-,,,C+
A,,B+,,,,A,,,,B,,A-,,,A-,A,A-,,A,A-,B+,,,A,,,,A,,,,A,V,,,A-,,,A
B+,,V,,,,,,A-,,A,,A,,,A,A,A,A,A-,C,C+,,,C-,,,,B+,,,,,B-,,,B,,,B
D,,A-,,,,C+,,,,B,,,B-,,,B,B,B,C+,C+,C+,,,D,,,,,,,C,,C-,,,B,,,C+
V,,A-,,,,A,,,,A,,,,,A,,A,,A,A,A,,,V,,,,,A,,,,,,,,,,A
A,,A,,,,A,,,,A,,B+,,,A,A,A,,A,A,B,,,A,,,,,,,A,,A,,,A-,,,A
A,,V,,,,,,A,,A,,A,,,A-,B+,A,,A,B,A,,,V,,,,,B,,,,A,,,B,,,B
A,,A,,,,A-,,,,A,,A,,,B,A,A,,A,A-,A,,,A,,,,B+,,,,,A-,,,A,,,A
A-,,B,,,,B,,,,B-,,,,,,,B-,,C,D+,D,,,,,,,,,,,,,,,,,,B+
V,,V,,,,,,,,B+,,A,,,V,,A,,A,B-,D,,,C-,,,,,,,,,,,,,,,A-
B+,,A,,,,A-,,,,A-,,B+,,,A,A,B,A-,A,B,C,,,B,,,,C,,,,,B,,,B+,,,B
B,,B,,,,B+,,,,A,,B,,,B+,A,A,,A-,A,A,,,,,B,V,,,A-,,,A,,,B+,,,B
A,,B,,,,A-,,,,B,,,B-,,A,A,A-,,C,C+,C-,,,C,,,,,,,B+,,C,,,B,,,B-
B,,B,,,,A-,,,,A-,,,,B+,B+,A-,B+,A-,B,C+,C+,,,,,D,V,,,D+,,,B+,,,B+,,,C
A-,,A-,,,,B,,,,B,,,,,,,B,,B,C-,C-,,,B-,,,,,,,,,,,,,,,A-
A,,A,,,,A,,,,A-,,,A-,,A,A,A,A,A,A,A,,,A,,,,A,,,,,A,,,A,,,A
A,,A,,,,A,,,,A,,A-,,,B,A-,A,,A,B,B,,,V,,,,,B,,,,A-,,,A-,,,B
B+,,A,,,,A,,,,A,,A,,,A,A,A-,A,A,B+,A-,,,V,,,,,A-,,,,V,,,A-,,,A
A-,,V,,,,,,,,B+,,,,,,,A,,B-,B,B-,,,B,,,,C,,,,,,,,,,,B
B,,B+,,,,B+,,,,C,,,B-,,,B-,B+,B+,C+,RF;B,C-,,B+,C+,,,,,,,C,,C,,,RF;B-,,,B-
C-,,B,,,,B,,,,A-,,A-,,,C,A,B+,,B,B-,B,,,B+,,,,C,,,,,B,,,B,,,B
B,,B,,,,A-,,,,B+,,B+,,,A-,B,B+,B-,C,C-,D+,,,C,,,,,,,C+,B-,D+,,,C+,,,B-
V,,V,,,,,,,,A-,,A,,,A,,A,,A,A-,A,,,B-,,,,A-,,,,,V,,,A,,,A
V,,V,,,,,,,,B,,,B+,,,,A,,C+,C,B-,,,D+,,,,,,,,,,,,,,,A
A,,A-,,,,A,,,,A,,A,,,A,A,A,,A,A,A,,,V,,,,,A,,,,A,,,A,,,A
B-,,,B+,,,,A-,,,A-,,B,,,B+,A-,B+,A-,C+,C,D+,,,D+,,,,,,,C,,C-,,,RF;C,,,B+
V,,V,,,,,,,,A-,,A,,,,,A-,,C+,C+,C,,,B,,,,,,,,,,,,,,,C
B,,,A-,,,,A,,,A-,,A,,,B,B+,A-,,A,A-,A,,,B+,,,,B,,,,,B+,,,B,,,B
C+,,B-,,,,B+,,,,B,,B-,,,A-,A,B+,B+,A,C,C,,,D,,,,,,,A-,C+,C,,,C+,,,B+
A-,,B+,,,,A,,,,A,,,,,,,C+,,A,D,C-,,,D,,,,,,,,,,,,,,,C-
A,,,A-,,,,A,,,A,,A,,,,A,B+,B+,B+,B+,B,,,B+,,,,B-,,,,,B-,,,B+,,,A-
A,,B+,,,,A,,,,B-,,B+,,,B+,A-,B,B-,B-,C,C,,,D,,,,,,,C,,C,,,C,,,C
A-,,A,,,,A,,,,A,,A,,,A-,A,A,A-,A-,B+,B,,,B+,,,,,,,A,,B,,,A-,,,A
A,,,B,,,,B,,,B-,,A,,,A,A,A-,,B+,A-,A,,,A-,,,,B,,,,A,B,,,B,,,B
B,,A-,,,,B+,,,,C,,B,,,,A,A-,B,C,C-,C-,,,C,,,,C,,,,,D,,,C+,,,B-
V,,A,,,,A,,,,A,,,A,,A,A-,A,,A,V,,,,A,,,,A,,,,,A,,,A,,,A
V,,A-,,,,A-,,,,A,,B,,,,,B-,,C+,D+,C,,,C-,,,,,,,,,,,,,,,B
V,,V,,,,,,B,,A,,A,,,B+,A-,A,,B,C,C,,,D,,,,D,,,,,C+,,,C+,,,B
B+,,B,,,,C,,,,B-,,,,,,,B,,C,D+,D+,,,D+,,,,,,,,,,,,,,,B
A,,,A,,,,A,,,A-,,,,A,V,A,A,B,B+,B,B+,,,B,,,,,,,A,,B,,,B-,,,B
B,,A,,,,A-,,,,A-,,B+,,,A,B+,B+,A-,B,C,C-,,,C-,,,,,,,C+,,C-,,,C+,,,C
C,,B-,,,,B+,,,,B,,,B+,,B,B-,A-,C+,B,D+,C-,,,C,,,,,,,B,,C,,,B,,,B-
A-,,B-,,,,B,,,,B-,,,,B-,A,A,A-,,B+,B,C+,,,C+,,,,D,,,,,B-,,,C+,,,B-
,B,B,,,,A,,,,,B,B,,,B+,B-,B,,B,C,B,,,C,,,,,,,B,,C-,,,C+,,,B
B,,B+,,,,B+,,,,B-,,B+,,,C+,B+,B+,B-,B,B+,B,,,C,,,,B+,,,,,B,,,B,,,A-
A,,V,,,,,,A,,A,,,A,,A,,A,,A,A,A,,,V,,,,,B,,,,A,,,,,,A
B+,,D,,,,A-,,,,B+,,B,,,,B,B-,B+,A-,C+,C,,,C+,,,,,,,C+,B,B-,,,B,,,B
B,,B,,,,B,,,,A,,B,W,,B-,A,A,,B,B,B,,,C,,,,D,,,,C+,C,,,C+,,,B
A,,A,,,,A,,,,A,,,A-,,B,A,A,,B,B,A,,,B,,,,A,,,,,A,,,A-,,,B
A,,B+,,,,B+,,,,A,,,,,,,B+,,B,B-,C,,,B,,,,,,,,,,,,,,,B+
A,,V,,,,,,A,,A-,,A,,,A,A,A,,A-,A,A-,,,V,,,,,B+,,,,A,,,A,,,A
B,,A-,,,,B+,,,,B,,B-,,,A,A,A-,,B,C+,C-,,,C-,,,,C+,,,,,C,,,C,,,B
A,,A,,,,B,,,,B,,A,,,C,A-,B,,B,C,D,,,D,,,,,,,D,,B-,,,D,,,B
B,,A-,,,,B+,,,,B,,,,,,,B+,,B+,C+,C+,,,A-,,,,B,,,,,,,,,,,B+
A-,,B,,,,B+,,,,A-,,A,,,B-,C+,A,,A-,B,C+,,,B,,,,C,,,,,B,,,C,,,B-
A,,B,,,,A,,,,C,,,A-,,A,A-,A,,A,C,C,,,B,,,,C+,,,,,C+,,,C,,,B
A,,,A-,,,,A,,,A-,,A,,,,A,A,A,A-,A-,A,,,V,,,,,A-,,,,A,,,A,,,A-
A,,A,,,,B,,,,A,,,,B+,A,A-,A,,A,C,B,,,C,,,,B,,,,,,,,,,,B
A-,,A-,,,,A,,,,B+,,A-,,,,A,B+,A,C,C,D+,,,D,,,,,,,A-,B,B+,,,B-,,,C
A-,,A,,,,B,,,,B+,,A-,,,B+,A-,B+,B,C,C,C,,,C,,,,,,,C,,B,,,C+,,,B-
B+,,,A-,,,,A,,,V,,,,B+,B,A,A-,B+,B-,B-,B,,,,,B+,V,,,B,,C+,B+,,,C+,,,B-
B+,,A,,,,A-,,,,A-,,,,A,A,A,A,B,B+,B-,C+,,,B-,,,,,,,A,,B-,,,B-,,,C+
B-,,A-,,,,A,,,,B,,A,,,B,B+,B,B-,C+,C,D,,,D,,,,,,,C,,C,,,D+,,,B-
C,,B+,,,,C+,,,,C-,,,C,,B,B+,C-,C,D,RF;D+,D+,,,D,,,,,,,D,,D,,,C+,,,B-
A,,A,,,,A,,,,A,,,,,,,B,,B+,B,B+,,,B,,,,,,,,,,,,,,,A-
B,,B,,,,B,,,,A-,,,,B+,A,B,A,,B-,C,C+,,,C,,,,,,,C,D+,C,,,C,,,C
A-,,A,,,,A,,,,A,,,B,,,A,A-,B,B,B-,B,,,B,,,,B-,,,,,A-,,,A-,,,A
V,,V,,,,,,B,,A,,,,B,B,B,A,,A,B,B,,,A,,,,B-,,,,,B-,,,C,,,B
B,,A,,,,B+,,,,B+,,B+,,,A-,B+,A-,,B-,C+,B-,,,B-,,,,B-,,,,,A-,,,B+,,,B+
A,,,B+,,,,A,,,B-,,A,,,A,A,A-,,A-,A,A,,,V,,,,,B,,,,A,,,A,,,A-
D,,B,,,,B+,,,,B-,,,B+,,B-,B,B,C+,D,C+,C,,,D+,,,,,,,B-,D,C,,,D+,,,B+
,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,,V,,,,,,,,A-,,,B-,,A,,B-,,B-,D+,D+,,,B-,,,,,,,,,,,,,,,B+
